amount,is_in_contacts,hour_of_day,is_new_receiver,label
1390.25,0,20,1,0
6629.5,0,14,1,1
6645.31,0,17,1,1
8071.8,0,6,1,1
9778.46,1,10,1,0
2864.37,0,7,1,0
2784.74,0,5,1,0
6403.8,0,7,1,1
4198.88,0,1,1,1
4842.2,1,18,1,0
6354.48,0,15,1,1
8829.29,1,6,1,0
1649.93,0,9,1,0
1883.75,0,11,1,0
394.78,1,16,1,0
3453.66,0,6,1,0
146.42,1,21,1,0
2506.43,1,7,1,0
3129.18,0,6,1,0
1350.52,0,3,1,1
3574.53,1,2,1,0
123.9,0,18,1,0
152.25,0,14,1,0
6917.41,0,3,1,1
1786.34,0,8,1,0
543.56,1,12,1,0
2954.61,0,17,1,0
5878.59,0,20,1,1
972.47,1,15,1,0
3900.88,0,0,1,1
356.84,0,3,1,1
212.26,1,17,1,0
3031.64,0,7,1,0
3111.64,1,19,1,0
4058.15,1,15,1,0
5179.84,0,20,1,1
10000.0,0,10,1,1
2905.16,0,19,1,0
1560.08,0,20,1,0
6342.62,1,20,1,0
1263.41,1,20,1,0
2311.93,0,18,1,0
326.82,1,22,1,0
102.71,1,18,1,0
10000.0,1,17,1,0
7231.07,0,18,1,1
4762.57,0,10,1,0
2103.44,0,2,1,0
761.23,1,7,1,0
680.48,0,19,1,0
1152.02,0,18,1,0
3187.16,0,9,1,0
5015.4,0,15,1,1
4317.56,0,4,1,1
1313.65,1,19,1,0
10000.0,0,8,1,1
5356.07,0,7,1,1
3232.92,0,10,1,0
3784.12,0,15,1,0
2176.15,0,6,1,0
1138.65,0,14,1,0
1760.06,0,23,1,0
5672.73,0,20,1,1
57.99,0,19,1,0
493.52,0,22,1,0
188.38,1,16,1,0
166.33,1,5,1,0
7736.81,0,14,1,1
4864.96,0,7,1,0
2571.14,1,6,1,0
411.83,0,1,1,1
2706.07,1,12,1,0
2565.8,1,22,1,0
760.78,0,5,1,1
2275.6,0,4,1,1
2033.35,1,19,1,0
3826.89,0,0,1,1
4032.46,0,17,1,0
185.45,0,14,1,0
1877.54,0,22,1,0
3932.5,1,9,1,0
2797.76,1,2,1,0
7765.4,1,4,1,0
4299.9,0,23,1,1
711.41,0,12,1,0
292.73,0,7,1,0
4113.58,0,21,1,0
107.48,0,20,1,0
3525.39,1,1,1,0
10000.0,1,8,1,0
3427.13,0,16,1,0
1965.2,1,17,1,0
4123.31,0,12,1,0
2451.82,0,0,1,1
3155.26,1,11,1,0
10000.0,0,19,1,1
1951.71,1,19,1,0
10000.0,1,20,1,0
9430.3,0,4,1,1
871.59,1,7,1,0
287.54,0,14,1,0
424.9,0,2,1,1
73.56,0,5,1,1
396.82,0,12,1,0
4595.5,1,11,1,0
295.4,0,18,1,0
1536.63,1,17,1,0
7454.1,0,23,1,1
94.19,0,0,1,1
6738.12,1,6,1,0
1324.33,0,11,1,0
503.0,0,9,1,0
4772.62,0,11,1,0
3965.6,0,10,1,0
8397.66,0,3,1,1
5313.17,1,18,1,0
6507.98,0,5,1,1
1325.34,0,8,1,0
781.33,1,19,1,0
5555.03,0,9,1,1
6576.84,1,4,1,0
10000.0,0,12,1,1
2128.32,0,8,1,0
1860.98,1,1,1,0
5991.82,0,17,1,1
1666.93,1,20,1,0
10000.0,0,0,1,1
7819.36,0,23,1,1
2241.42,0,20,1,0
5559.14,0,11,1,1
5618.53,1,9,1,0
435.35,0,1,1,1
9313.78,1,8,1,0
2814.83,1,1,1,0
7005.33,0,22,1,1
1542.94,0,23,1,0
9035.16,1,21,1,0
1971.95,1,13,1,0
43.59,0,10,1,0
9431.63,0,22,1,1
382.9,0,10,1,0
1538.61,1,16,1,0
10000.0,0,3,1,1
10000.0,1,12,1,0
3407.99,0,6,1,0
3996.92,0,15,1,0
2380.06,0,0,1,0
1388.09,0,12,1,0
1593.95,0,0,1,1
4465.29,0,10,1,0
5583.35,0,5,1,1
6272.78,0,19,1,1
6235.32,0,2,1,1
382.55,1,11,1,0
2728.2,0,4,1,1
237.13,0,8,1,0
3189.85,0,11,1,0
2330.22,1,9,1,0
8746.47,0,18,1,1
1728.77,1,4,1,0
498.02,1,4,1,0
617.23,1,8,1,0
5733.72,0,19,1,1
3851.62,1,16,1,0
426.43,0,9,1,0
351.42,0,20,1,0
4828.83,1,0,1,0
302.18,0,21,1,0
6900.74,1,15,1,0
4900.0,0,14,1,0
339.4,1,22,1,0
354.62,0,16,1,0
10000.0,0,19,1,1
1875.35,0,12,1,0
1852.22,1,0,1,0
6702.3,0,7,1,1
10000.0,0,4,1,1
10000.0,0,5,1,1
5599.6,1,22,1,0
1888.08,0,19,1,0
348.78,0,13,1,0
6004.97,0,21,1,1
3269.44,0,22,1,0
2208.13,0,10,1,0
9472.95,0,5,1,1
471.52,1,10,1,0
2714.02,0,12,1,0
45.67,0,11,1,0
2529.42,0,21,1,0
231.8,1,1,1,0
505.96,1,20,1,0
500.1,1,2,1,0
4190.27,0,22,1,0
5482.39,0,3,1,1
3502.22,0,16,1,0
10000.0,0,21,1,1
1879.19,0,5,1,1
1345.88,1,6,1,0
8118.01,1,14,1,0
1012.33,1,10,1,0
10000.0,0,23,1,1
48.92,1,2,1,0
10000.0,0,5,1,1
176.48,0,1,1,1
8870.88,1,13,1,0
3000.57,0,8,1,0
10000.0,0,17,1,1
306.65,0,18,1,0
3228.44,1,11,1,0
10000.0,1,12,1,0
2961.78,0,11,1,0
3970.51,1,11,1,0
4759.6,0,17,1,0
2424.51,0,8,1,0
3950.7,1,16,1,0
3511.3,1,20,1,0
9256.93,1,15,1,0
186.05,0,16,1,0
1319.37,1,20,1,0
10000.0,1,23,1,0
8838.7,1,7,1,0
2432.7,0,10,1,0
3871.73,1,23,1,0
1299.49,0,1,1,1
833.62,0,7,1,0
2492.23,0,11,1,0
1743.81,0,20,1,0
3504.97,0,0,1,1
323.69,1,22,1,0
10000.0,0,12,1,1
10000.0,1,21,1,0
4791.46,0,20,1,0
3072.31,0,16,1,0
1481.52,0,13,1,0
6723.63,0,13,1,1
4617.32,0,15,1,0
709.89,0,16,1,0
9673.2,0,5,1,1
6915.98,0,6,1,1
10000.0,0,0,1,1
5174.42,0,14,1,1
3801.62,0,19,1,0
2166.81,1,20,1,0
10000.0,1,17,1,0
8041.57,1,12,1,0
185.09,0,23,1,0
106.88,1,1,1,0
1889.39,1,18,1,0
6654.59,1,14,1,0
10000.0,0,11,1,1
652.04,1,14,1,0
3606.9,1,17,1,0
1917.89,0,13,1,0
10000.0,1,5,1,0
7383.65,0,11,1,1
7288.76,0,19,1,1
2529.66,0,22,1,0
2143.34,1,5,1,0
1277.56,0,8,1,0
232.11,0,3,1,1
8001.7,0,16,1,1
6704.47,0,1,1,1
10000.0,0,15,1,1
10000.0,1,23,1,0
3242.61,1,13,1,0
5861.13,0,7,1,1
10000.0,0,13,1,1
7579.09,0,1,1,1
1136.61,1,15,1,0
2395.31,0,3,1,1
553.19,0,0,1,1
10000.0,0,22,1,1
3727.39,1,19,1,0
1038.41,1,13,1,0
4455.32,1,7,1,0
3850.68,1,2,1,0
1773.68,0,4,1,0
482.16,0,5,1,1
4453.77,0,21,1,0
2938.44,0,7,1,0
5919.23,0,5,1,1
2937.24,0,5,1,1
7647.08,0,3,1,1
3211.02,1,6,1,0
3292.46,1,23,1,0
8371.03,1,18,1,0
2066.59,1,6,1,0
575.55,0,2,1,0
116.82,1,7,1,0
5628.23,0,0,1,1
3873.6,1,0,1,0
4870.66,0,13,1,0
957.93,1,5,1,0
586.45,0,9,1,0
58.61,0,13,1,0
1726.75,1,3,1,0
3565.59,0,5,1,0
1991.93,1,15,1,0
2301.28,1,20,1,0
9380.25,1,0,1,0
1712.41,1,5,1,0
2886.1,1,8,1,0
6123.49,0,14,1,1
2020.32,1,11,1,0
3892.36,1,2,1,0
7932.56,1,10,1,0
10000.0,0,14,1,1
636.33,1,2,1,0
10000.0,1,13,1,0
2710.01,1,1,1,0
1194.94,0,3,1,1
2458.35,0,18,1,0
10000.0,0,11,1,1
2713.97,1,1,1,0
1594.46,1,16,1,0
4013.95,0,2,1,1
1098.51,0,9,1,0
315.58,0,15,1,0
551.9,0,21,1,0
548.07,1,8,1,0
659.04,1,10,1,0
597.84,0,20,1,0
4096.34,0,14,1,0
802.99,0,2,1,1
1696.56,1,15,1,0
9083.9,0,20,1,1
2569.52,0,20,1,0
4405.16,0,20,1,0
756.51,1,11,1,0
854.2,1,22,1,0
166.91,1,4,1,0
740.19,0,6,1,0
1306.19,0,8,1,0
779.25,0,20,1,0
371.54,1,17,1,0
514.22,0,20,1,0
2470.52,0,7,1,0
924.37,1,11,1,0
1811.92,1,19,1,0
2800.02,0,1,1,1
4689.83,0,9,1,0
160.42,0,18,1,0
6425.98,1,8,1,0
3954.37,1,23,1,0
341.18,0,7,1,0
8272.54,0,23,1,1
10000.0,1,23,1,0
252.09,1,23,1,0
1296.71,0,0,1,1
6563.74,0,5,1,1
5517.43,0,11,1,1
815.92,0,23,1,0
939.6,1,18,1,0
1851.14,1,16,1,0
2650.65,1,1,1,0
3852.01,0,10,1,0
1841.25,1,17,1,0
2483.56,0,22,1,0
5504.92,0,21,1,1
149.49,0,10,1,0
1163.75,0,17,1,0
4997.97,1,7,1,0
9023.07,0,14,1,1
2867.12,0,8,1,0
3038.12,0,14,1,0
453.45,0,6,1,0
2372.57,0,19,1,0
3042.43,0,12,1,0
1110.77,1,12,1,0
1254.7,0,0,1,1
1894.66,0,19,1,0
81.1,0,3,1,1
1554.9,1,23,1,0
950.23,0,3,1,0
1587.0,0,3,1,1
510.25,0,12,1,0
8848.32,0,1,1,1
3601.6,0,22,1,0
4546.53,1,14,1,0
6226.84,1,3,1,0
2760.15,0,5,1,1
363.73,1,2,1,0
3081.03,1,6,1,0
3535.69,0,5,1,1
5472.87,0,2,1,1
2260.14,0,3,1,1
545.94,0,9,1,0
1335.05,1,20,1,0
1804.46,1,8,1,0
4152.9,1,5,1,0
3383.13,1,19,1,0
1760.83,0,10,1,0
10000.0,0,6,1,1
3723.33,1,17,1,0
1083.18,0,3,1,1
429.37,1,4,1,0
663.55,1,3,1,0
1129.23,1,3,1,0
700.66,1,12,1,0
825.97,0,15,1,0
1342.42,1,13,1,0
761.61,1,10,1,0
9083.01,0,1,1,1
334.54,1,21,1,0
2973.65,0,13,1,0
2113.22,1,23,1,0
10000.0,0,23,1,1
475.31,0,6,1,0
2029.03,0,10,1,0
10000.0,1,3,1,0
8024.98,0,6,1,1
6794.65,0,15,1,1
1193.1,0,5,1,1
749.6,1,5,1,0
4418.24,0,1,1,0
10000.0,0,23,1,1
3254.6,1,7,1,0
3390.91,0,6,1,0
1313.9,1,23,1,0
5869.9,0,13,1,1
828.31,1,8,1,0
1564.35,0,14,1,0
2216.58,0,21,1,0
2833.94,1,17,1,0
1110.45,0,11,1,0
487.93,1,22,1,0
3772.8,0,18,1,0
1362.25,0,12,1,0
3481.81,0,6,1,0
670.66,1,9,1,0
2624.49,0,9,1,0
3042.19,0,1,1,1
212.86,0,13,1,0
1641.53,0,12,1,0
577.4,0,21,1,0
261.89,1,5,1,0
10000.0,0,8,1,1
1556.52,1,12,1,0
6640.28,0,8,1,1
1175.56,1,12,1,0
4576.57,1,4,1,0
5712.26,0,13,1,1
3621.79,1,4,1,0
2551.43,0,8,1,0
2123.03,1,7,1,0
1716.17,1,6,1,0
10000.0,0,7,1,1
7102.43,0,21,1,1
10000.0,0,2,1,1
530.91,0,22,1,0
5250.21,0,23,1,1
10000.0,0,14,1,1
799.82,0,7,1,0
275.24,1,0,1,0
5405.57,0,6,1,1
3417.71,0,18,1,0
7376.31,1,1,1,0
602.23,0,13,1,0
6344.2,0,17,1,1
900.72,0,14,1,0
714.86,1,13,1,0
717.78,1,23,1,0
6740.41,0,18,1,1
4376.85,1,18,1,0
2961.5,0,21,1,0
1777.85,1,16,1,0
8388.81,1,21,1,0
1993.25,1,18,1,0
6784.33,0,15,1,1
2313.1,0,19,1,0
1892.48,0,18,1,0
2484.64,1,0,1,0
1434.58,0,18,1,0
5507.11,1,6,1,0
2794.41,1,22,1,0
1056.97,0,10,1,0
9193.36,1,4,1,0
1937.33,1,16,1,0
3137.13,1,10,1,0
9477.98,1,23,1,0
3915.2,1,7,1,0
497.26,0,9,1,0
10000.0,1,11,1,0
3952.31,0,9,1,0
1631.31,1,12,1,0
599.91,1,17,1,0
6320.01,0,9,1,1
3871.1,1,18,1,0
3049.66,0,19,1,0
8973.21,0,16,1,1
6215.96,0,19,1,1
657.97,1,15,1,0
1494.25,1,4,1,0
1142.68,1,2,1,0
5449.47,0,14,1,1
136.43,1,1,1,0
3374.85,1,12,1,0
5749.65,0,21,1,1
8374.67,0,7,1,1
1674.7,0,22,1,0
6887.23,1,16,1,0
468.98,1,3,1,0
7494.98,1,18,1,0
545.52,0,21,1,0
2025.26,1,8,1,0
6384.02,0,22,1,1
649.69,0,14,1,0
1041.57,1,8,1,0
5124.17,0,23,1,1
5092.38,1,20,1,0
4099.38,0,8,1,0
4736.01,1,13,1,0
3129.88,0,22,1,0
1160.33,0,20,1,0
1696.73,0,15,1,0
801.61,0,23,1,0
9563.5,1,22,1,0
3502.44,0,16,1,0
2048.98,1,12,1,0
2479.63,1,8,1,0
10000.0,0,14,1,1
665.88,0,6,1,0
3529.78,1,0,1,0
2819.98,1,0,1,0
3781.38,1,4,1,0
73.1,0,23,1,0
8226.77,1,8,1,0
10000.0,0,11,1,1
3330.86,1,5,1,0
4771.48,1,12,1,0
10000.0,0,7,1,1
4913.59,0,14,1,0
662.04,0,5,1,1
3434.81,0,5,1,1
3732.88,1,3,1,0
2207.5,0,10,1,0
5333.96,0,20,1,1
10000.0,0,17,1,1
10000.0,1,2,1,0
2397.46,1,2,1,0
480.71,0,11,1,0
10000.0,0,20,1,1
7302.87,1,20,1,0
532.58,1,5,1,0
10000.0,0,20,1,1
8157.7,0,5,1,1
2926.21,0,7,1,0
3578.86,0,14,1,0
2036.66,0,17,1,0
225.27,1,19,1,0
1633.06,0,15,1,0
6495.23,1,5,1,0
18.57,0,20,1,0
1622.86,1,16,1,0
2031.11,1,8,1,0
3083.53,0,18,1,0
10000.0,0,17,1,1
1700.71,1,22,1,0
1704.43,0,4,1,1
5350.04,0,5,1,1
2407.51,0,11,1,0
1017.53,1,10,1,0
2409.13,0,15,1,0
607.28,1,19,1,0
776.22,0,16,1,0
2759.55,1,19,1,0
2171.5,0,8,1,0
9853.17,1,0,1,0
1800.14,0,2,1,1
3475.61,1,20,1,0
4001.56,1,22,1,0
52.72,0,8,1,0
4357.07,0,21,1,0
784.23,0,18,1,0
10000.0,0,12,1,1
643.79,1,22,1,0
2142.0,0,13,1,0
356.85,0,19,1,0
10000.0,1,18,1,0
2790.19,0,22,1,0
3619.28,0,6,1,0
277.73,0,3,1,1
5544.55,1,11,1,0
942.41,1,22,1,0
9133.26,1,13,1,0
918.36,0,1,1,1
846.28,1,0,1,0
148.94,0,17,1,0
2555.14,0,19,1,0
3328.18,0,7,1,0
271.87,0,2,1,1
5976.01,0,5,1,1
2415.34,0,21,1,0
2972.63,0,12,1,0
2324.73,0,8,1,0
2048.39,1,8,1,0
3280.65,0,19,1,0
674.81,1,8,1,0
803.22,0,14,1,0
7915.8,1,12,1,0
10000.0,0,21,1,1
1869.21,0,15,1,0
1262.93,0,1,1,1
4131.29,1,13,1,0
2101.96,1,5,1,0
102.86,0,1,1,1
679.13,0,7,1,0
5034.73,1,3,1,0
4302.6,1,20,1,0
109.88,0,23,1,0
1003.97,0,13,1,0
1051.05,0,10,1,0
4457.66,1,23,1,0
79.63,0,13,1,0
439.74,1,11,1,0
6436.07,0,15,1,1
786.71,0,5,1,1
4230.8,0,19,1,0
1088.19,1,0,1,0
418.96,1,11,1,0
1114.48,0,6,1,0
5124.38,1,7,1,0
7743.35,0,8,1,1
7093.0,0,1,1,1
2024.57,0,16,1,0
4411.51,0,19,1,0
917.57,0,12,1,0
1387.73,1,4,1,0
9066.39,0,9,1,1
52.35,1,11,1,0
357.55,0,16,1,0
932.2,1,20,1,0
107.56,0,5,1,1
800.81,0,2,1,1
3499.07,0,14,1,0
2188.75,0,6,1,0
8927.45,1,5,1,0
6802.78,0,3,1,1
1673.09,1,18,1,0
1201.31,0,4,1,1
1910.16,0,2,1,1
3569.27,0,8,1,0
1248.25,1,5,1,0
3914.25,1,12,1,0
2106.54,0,21,1,0
3212.27,0,19,1,0
2291.7,0,3,1,1
1395.2,1,1,1,0
10000.0,1,3,1,0
5769.02,0,7,1,1
603.82,0,12,1,0
8114.02,0,9,1,0
2673.28,1,17,1,0
8998.16,0,8,1,1
6434.86,1,0,1,0
2215.03,0,12,1,0
90.9,1,17,1,0
1251.6,1,14,1,0
3120.35,1,1,1,0
4014.79,1,10,1,0
1193.02,1,13,1,0
600.3,0,21,1,0
7205.55,0,14,1,1
10000.0,0,13,1,1
2983.58,1,15,1,0
753.42,0,22,1,0
1271.51,1,14,1,0
74.25,1,18,1,0
9827.55,0,8,1,1
501.12,0,4,1,0
3436.96,0,4,1,1
1281.13,0,10,1,0
3231.34,0,19,1,0
4215.55,0,23,1,1
7081.76,1,3,1,0
924.81,1,19,1,0
44.23,0,17,1,0
588.83,0,2,1,0
9211.09,0,3,1,1
8282.41,1,13,1,1
3639.38,1,6,1,0
3670.33,0,7,1,0
4374.94,0,23,1,1
771.29,1,15,1,0
9832.84,1,19,1,0
2170.44,0,14,1,0
1932.44,1,6,1,0
2926.87,0,16,1,0
192.42,0,21,1,0
727.45,1,21,1,0
5358.16,1,21,1,0
345.71,0,11,1,0
3696.81,1,17,1,0
1126.0,0,23,1,0
1972.57,1,13,1,0
1362.61,0,14,1,0
1758.19,1,14,1,0
5078.26,1,4,1,0
1410.29,0,15,1,0
3342.57,1,4,1,0
2585.44,1,1,1,0
4358.66,1,19,1,0
10000.0,0,8,1,1
5275.62,1,21,1,0
967.98,1,8,1,0
126.72,0,3,1,1
1216.68,1,14,1,0
3616.24,0,10,1,0
211.18,0,0,1,1
2743.62,0,17,1,0
3633.72,0,0,1,1
1627.33,1,7,1,0
5894.6,0,15,1,1
450.88,1,21,1,0
312.44,0,17,1,0
5210.59,0,21,1,1
2736.68,0,8,1,0
4664.17,0,11,1,0
2282.5,1,18,1,0
1131.59,1,17,1,0
6839.29,1,4,1,0
6426.09,0,1,1,1
4745.8,0,6,1,0
1270.61,0,9,1,0
3568.64,0,14,1,0
1791.24,0,6,1,0
384.2,1,4,1,0
9970.8,0,14,1,1
588.52,1,19,1,0
10000.0,0,19,1,1
2362.4,0,14,1,0
818.92,1,9,1,0
3122.68,0,23,1,0
8252.57,1,13,1,0
5270.43,1,9,1,0
6571.18,0,16,1,1
4300.95,1,20,1,0
4714.22,0,13,1,0
7567.09,0,1,1,1
1148.96,1,15,1,0
2688.87,0,12,1,0
1000.05,1,8,1,0
10000.0,1,6,1,0
10000.0,1,15,1,0
160.9,0,9,1,0
4890.93,0,23,1,1
10000.0,1,21,1,0
796.61,0,8,1,0
3356.81,0,21,1,0
9883.46,0,22,1,1
138.14,0,6,1,0
4781.64,0,15,1,0
1411.58,1,8,1,0
10000.0,1,23,1,0
10000.0,0,16,1,1
10000.0,0,19,1,1
2571.45,0,6,1,0
7923.24,1,10,1,0
7445.71,0,7,1,1
1537.36,1,6,1,0
7062.39,0,18,1,1
150.84,1,19,1,0
3628.03,0,11,1,0
1045.5,1,6,1,0
513.91,0,7,1,0
320.3,1,6,1,0
4766.71,0,5,1,1
1661.3,1,8,1,0
5160.55,1,12,1,0
270.36,0,6,1,0
1515.04,1,7,1,0
3101.69,0,21,1,0
6256.39,0,16,1,1
1535.32,0,16,1,0
3932.84,0,15,1,0
8685.45,1,21,1,0
3827.03,1,1,1,0
1060.86,0,7,1,0
98.81,0,16,1,0
8163.93,1,12,1,0
86.0,1,17,1,0
8308.23,0,23,1,1
3011.05,1,21,1,0
10000.0,0,9,1,1
6413.49,0,1,1,1
10000.0,1,1,1,0
1727.51,0,13,1,0
5830.1,0,15,1,1
2056.2,0,6,1,0
2614.75,1,20,1,0
3950.13,1,20,1,0
8275.66,0,23,1,1
10000.0,0,11,1,1
5848.79,0,22,1,1
2163.54,0,13,1,0
2188.28,0,3,1,1
5351.27,1,3,1,0
1091.32,0,17,1,0
468.27,0,2,1,1
1751.68,0,0,1,1
1354.44,0,16,1,0
1405.66,1,6,1,0
1064.24,0,15,1,0
172.02,0,4,1,1
72.14,0,18,1,0
10000.0,0,6,1,1
2232.88,0,13,1,0
1940.15,0,1,1,1
4553.33,0,2,1,1
984.9,0,16,1,0
10000.0,0,15,1,1
6173.57,0,7,1,1
374.65,1,17,1,0
2162.26,0,14,1,0
8451.77,0,6,1,1
10000.0,0,8,1,1
2519.95,0,5,1,1
3801.58,1,17,1,0
731.05,0,17,1,0
10000.0,1,23,1,0
1054.15,0,13,1,0
10000.0,0,13,1,1
4195.25,1,13,1,0
